Routing Table for Node No. 5 at Time 20
Destination		 Path 		 Cost
0     		5 2 1 0 		13
1     		5 2 1 		10
2     		5 2 		3
3     		5 2 3 		11
4     		5 4 		9
6     		5 6 		2
7     		5 8 7 		7
8     		5 8 		1
Routing Table for Node No. 5 at Time 40
Destination		 Path 		 Cost
0     		5 2 1 0 		13
1     		5 2 1 		10
2     		5 2 		3
3     		5 2 3 		11
4     		5 4 		9
6     		5 6 		2
7     		5 8 7 		9
8     		5 8 		3
Routing Table for Node No. 5 at Time 60
Destination		 Path 		 Cost
0     		5 2 1 0 		13
1     		5 2 1 		10
2     		5 2 		3
3     		5 2 3 		11
4     		5 4 		9
6     		5 6 		2
7     		5 8 7 		8
8     		5 8 		2
Routing Table for Node No. 5 at Time 80
Destination		 Path 		 Cost
0     		5 2 1 0 		13
1     		5 2 1 		10
2     		5 2 		3
3     		5 2 3 		11
4     		5 4 		9
6     		5 6 		2
7     		5 8 7 		8
8     		5 8 		2
Routing Table for Node No. 5 at Time 100
Destination		 Path 		 Cost
0     		5 2 1 0 		13
1     		5 2 1 		10
2     		5 2 		3
3     		5 2 3 		11
4     		5 4 		9
6     		5 6 		2
7     		5 8 7 		9
8     		5 8 		3
Routing Table for Node No. 5 at Time 120
Destination		 Path 		 Cost
0     		5 2 1 0 		13
1     		5 2 1 		10
2     		5 2 		3
3     		5 2 3 		11
4     		5 4 		9
6     		5 6 		2
7     		5 2 8 7 		10
8     		5 2 8 		4
